5.044485368500000178e+00 6.061996994200000266e+00 4.756784322999999759e+00 4.807130120000000062e+00 7.203478825499999516e+00 5.936178761999999942e+00 5.936178761999999942e+00 5.550424136285713850e+00 5.550424136285713850e+00
4.990576554000000442e+00 4.298988274000000054e+00 4.595255740500000741e+00 4.862198297750000009e+00 6.623032735749999844e+00 5.685176908500000792e+00 3.682830867999999924e+00 6.015785983599999831e+00 5.783105059942856840e+00
4.949736897000000191e+00 5.862268996000000065e+00 5.206180452999999986e+00 5.126344771500000341e+00 7.307823220599999559e+00 5.845462951500000059e+00 3.593389215000000192e+00 6.134102232799999221e+00 5.166536954999999764e+00
5.338209136999999771e+00 6.289149884666666246e+00 5.562384601999999845e+00 4.668191853499999766e+00 6.473203650250000329e+00 6.159333300874999750e+00 4.876361257937499971e+00 5.505231745368750040e+00 5.335884350184374902e+00
4.552008443500000112e+00 5.420579164083333623e+00 4.856701239000000392e+00 4.812603012333333652e+00 7.583146240666667204e+00 5.442245081000000262e+00 4.021053905999999678e+00 5.700392741499999083e+00 5.760395672999999661e+00
4.429939882999999412e+00 6.057243248999999885e+00 5.456972244000000138e+00 5.380404205499999648e+00 7.432157051999999986e+00 5.742107564499999484e+00 3.873111526000000193e+00 6.237899883999999950e+00 5.999147778499999362e+00
4.924916749000000316e+00 5.919340923000000032e+00 5.688156583499999641e+00 4.916973300000000435e+00 6.174565175999999767e+00 6.889731429999999435e+00 5.381421478000000036e+00 4.843017857666666259e+00 5.273537067000000356e+00
4.597950637500000326e+00 6.017968714800000285e+00 5.056285474000000058e+00 4.986629387000000690e+00 6.796749265499999915e+00 5.688747660999999844e+00 5.535084569500000384e+00 5.859762343999999956e+00 5.566649705499999712e+00
7.000417076333332211e+00 6.719725428000000278e+00 6.356858220499998602e+00 6.091650291000000550e+00 7.663940445374999300e+00 6.075501766000000359e+00 3.725909710999999902e+00 6.993005647999998686e+00 8.249650757999997808e+00
8.404742345000000725e+00 9.325425008666666571e+00 9.410008215999999592e+00 8.356122442333331790e+00 1.026206252066666735e+01 8.168782143333334744e+00 7.274062643500000647e+00 1.006876537099999958e+01 9.219343768999999966e+00
8.122374550800000037e+00 9.718530062333334385e+00 9.564269139166666989e+00 7.729911209499999991e+00 9.981888271333332341e+00 9.210540042999999955e+00 9.309329895999999493e+00 8.232742041999998150e+00 8.791595670999997836e+00
7.504503171600001465e+00 1.143204310157142700e+01 1.049815612036904611e+01 7.655081984999999811e+00 9.193830356833332829e+00 7.514460866000000294e+00 8.470836504999997629e+00 9.528674795500000627e+00 9.160135233249999231e+00
8.294071107000000609e+00 1.030101022999999927e+01 9.455229619000000696e+00 7.977454249333333358e+00 9.686508544625000994e+00 8.825830219500000240e+00 8.154006796999999196e+00 9.155241752666666954e+00 9.215398066000000554e+00
7.768443510500000038e+00 1.053549930833333370e+01 9.007058993999997654e+00 7.959739981000000242e+00 9.910797656777779352e+00 1.005161248900000004e+01 9.102809643000000506e+00 8.232827402999998156e+00 8.724112734500000244e+00
7.768443510500000038e+00 9.648652877600000011e+00 9.327855935799998832e+00 7.638820870500000026e+00 9.140437344333333769e+00 9.468449909000000275e+00 8.407610623000000061e+00 9.450228563500001400e+00 8.954453791000000606e+00
7.850425548249999608e+00 9.405858145999999920e+00 9.366857040899999376e+00 7.958074295599999459e+00 1.112413650499999918e+01 1.029629320699999973e+01 7.729594059500000114e+00 9.069310708250000630e+00 9.011882249624999730e+00
8.432312125666665992e+00 9.874607688000001104e+00 1.003134629000000011e+01 8.186080538666667294e+00 1.008307867833333127e+01 1.018968594266666550e+01 9.017822811999998578e+00 9.189337441999999356e+00 7.469176840000000261e+00
1.156722621719999822e+01 1.288340361200000039e+01 1.145737495100000025e+01 1.158979163125000156e+01 1.391084285361538164e+01 1.314593526300000015e+01 1.143900883999999962e+01 1.164254776299999961e+01 9.555862301499999489e+00
1.316532377750000116e+01 1.411267422499999924e+01 1.148041815999999926e+01 1.222881807000000087e+01 1.519435565588235093e+01 1.421166199999999868e+01 1.056413869000000005e+01 1.330820795125000089e+01 1.220343493000000024e+01
1.361006419499999964e+01 1.418210025200000146e+01 1.228921910999999945e+01 1.218885025000000155e+01 1.487819953307692344e+01 1.386745884375000060e+01 1.042207327999999933e+01 1.378824705166666753e+01 1.299584099083333300e+01
1.350166055000000043e+01 1.373030190000000061e+01 1.346638059666666720e+01 1.189711311374999880e+01 1.500641178545454402e+01 1.476341887999999969e+01 1.255952916999999935e+01 1.199833898671428400e+01 9.450536574999999218e+00
1.283746769000000043e+01 1.404364012666666639e+01 1.226122218999999980e+01 1.151510860571428729e+01 1.505164554466666615e+01 1.184696081499999920e+01 1.350651088999999949e+01 1.346578507199999919e+01 1.249598008000000071e+01
1.321731714499999910e+01 1.505941246333333261e+01 1.366031732666666620e+01 1.110832638166666619e+01 1.481881828599999906e+01 1.274015622666666481e+01 1.174306279750000037e+01 1.264419097333333220e+01 1.214514063999999927e+01
1.250511192749999978e+01 1.449612857249999820e+01 1.334692096999999933e+01 1.312475808499999985e+01 1.412869074400000180e+01 1.484091464600000165e+01 1.078535370000000171e+01 1.329713789749999897e+01 1.213723408000000070e+01
